ID,Posted at,Screen name,Text
920981920787386368,2017-10-19 11:56:15 +0000,realDonaldTrump,"Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?"
920988223362469891,2017-10-19 12:21:18 +0000,realDonaldTrump,".@foxandfriends ""Russia sent millions to Clinton Foundation"""
920989237276762112,2017-10-19 12:25:19 +0000,realDonaldTrump,RT @USArmy333: @804StreetMedia @realDonaldTrump He’s done more in 9 months then obama did in8 yrs
921113816053755904,2017-10-19 20:40:21 +0000,realDonaldTrump,It was great to have Governor @RicardoRossello of #PuertoRico🇵🇷with us at the @WhiteHouse today. We are with you!… https://t.co/Q2NhV2MAXD
921189980843663360,2017-10-20 01:43:00 +0000,realDonaldTrump,"Keep up the GREAT work. I am with you 100%!

""ISIS is losing its grip...""
Army Colonel Ryan Dillon
CJTF–OIR… https://t.co/EXqgvquLiK"
921207772233990144,2017-10-20 02:53:42 +0000,realDonaldTrump,"The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!"
921209530628956161,2017-10-20 03:00:42 +0000,realDonaldTrump,Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!
921242760685998080,2017-10-20 05:12:44 +0000,realDonaldTrump,Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the Ameri… https://t.co/pxcNfDTNAd
921317883321430016,2017-10-20 10:11:15 +0000,realDonaldTrump,"The Budget passed late last night, 51 to 49. We got ZERO Democrat votes with only Rand Paul (he will vote for Tax Cuts) voting against....."
921319017826091008,2017-10-20 10:15:45 +0000,realDonaldTrump,"....This now allows for the passage of large scale Tax Cuts (and Reform), which will be the biggest in the history of our country!"
921323063945453574,2017-10-20 10:31:50 +0000,realDonaldTrump,"Just out report: ""United Kingdom crime rises 13% annually amid spread of Radical Islamic terror."" Not good, we must keep America safe!"
921443729990397952,2017-10-20 18:31:19 +0000,realDonaldTrump,Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw
921448521617821701,2017-10-20 18:50:21 +0000,realDonaldTrump,"Today, it was an honor to have @UN
Secretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A.,… https://t.co/oKRVJ29m2v"
921483820288921601,2017-10-20 21:10:37 +0000,realDonaldTrump,This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today:… https://t.co/faXIjyR08M
921524504836395008,2017-10-20 23:52:17 +0000,realDonaldTrump,"Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!"
921705862992887808,2017-10-21 11:52:56 +0000,realDonaldTrump,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!"
921709468055896064,2017-10-21 12:07:16 +0000,realDonaldTrump,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!"
921716470140325889,2017-10-21 12:35:05 +0000,realDonaldTrump,"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened."
921723302481145857,2017-10-21 13:02:14 +0000,realDonaldTrump,RT @IamVicky4Trump: TUNE IN: Maria Bartiromo Has an Exclusive Interview With President Trump https://t.co/H5VuJwy78o
921724821939130369,2017-10-21 13:08:17 +0000,realDonaldTrump,People get what is going on! https://t.co/Pdg7VqQv6M
921726400922619904,2017-10-21 13:14:33 +0000,realDonaldTrump,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!
921780758372642816,2017-10-21 16:50:33 +0000,realDonaldTrump,“Trump hails liberation of Raqqa as critical breakthrough in anti-ISIS campaign” https://t.co/2eoYXJB7h0
921828280998744066,2017-10-21 19:59:23 +0000,realDonaldTrump,"Officials behind the now discredited ""Dossier"" plead the Fifth. Justice Department and/or FBI should immediately release who paid for it."
921829947093733376,2017-10-21 20:06:00 +0000,realDonaldTrump,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC & CBS?"
921848853090983938,2017-10-21 21:21:08 +0000,realDonaldTrump,"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!"
921871707564101632,2017-10-21 22:51:57 +0000,realDonaldTrump,"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics"
921888248707846144,2017-10-21 23:57:41 +0000,realDonaldTrump,"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first....."
921889525881819136,2017-10-22 00:02:45 +0000,realDonaldTrump,"...9 months than this Administration. Over 50 Legislation approvals, massive regulation cuts, energy freedom, pipelines, border security...."
921891186352287744,2017-10-22 00:09:21 +0000,realDonaldTrump,"...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!"
922067676708638721,2017-10-22 11:50:39 +0000,realDonaldTrump,Doing interview today with Maria Bartiromo at 10:00 A.M. on @FoxNews - ENJOY!
922070659093671936,2017-10-22 12:02:31 +0000,realDonaldTrump,"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action & vote R!"
922072236592435200,2017-10-22 12:08:47 +0000,realDonaldTrump,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred."
922428118685581313,2017-10-23 11:42:56 +0000,realDonaldTrump,"There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!"
922430688703451136,2017-10-23 11:53:08 +0000,realDonaldTrump,"Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag & Country.  No leadership in NFL!"
922440008971292672,2017-10-23 12:30:10 +0000,realDonaldTrump,"I had a very respectful conversation with the widow of Sgt. La David Johnson, and spoke his name from beginning, without hesitation!"
922603042796654592,2017-10-23 23:18:01 +0000,realDonaldTrump,We will never forget the 241 American service members killed by Hizballah in Beirut. They died in service to our na… https://t.co/xd2GAvU0YP
922798321739161600,2017-10-24 12:13:59 +0000,realDonaldTrump,"Bob Corker, who helped President O give us the bad Iran Deal & couldn't get elected dog catcher in Tennessee, is now fighting Tax Cuts...."
922799981874089985,2017-10-24 12:20:35 +0000,realDonaldTrump,"...Corker dropped out of the race in Tennesse when I refused to endorse him, and now is only negative on anything Trump. Look at his record!"
922817539251556353,2017-10-24 13:30:21 +0000,realDonaldTrump,"Isn't it sad that lightweight Senator Bob Corker, who couldn't get re-elected in the Great State of Tennessee, will now fight Tax Cuts plus!"
922828476872318976,2017-10-24 14:13:48 +0000,realDonaldTrump,"Sen. Corker is the incompetent head of the Foreign Relations Committee, & look how poorly the U.S. has done. He doesn't have a clue as....."
922830229525225477,2017-10-24 14:20:46 +0000,realDonaldTrump,...the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!
922833943749103621,2017-10-24 14:35:32 +0000,realDonaldTrump,Stock Market just hit another record high! Jobs looking very good.
922903426434064384,2017-10-24 19:11:38 +0000,realDonaldTrump,"“President Donald J. Trump Proclaims October 24, 2017, as United Nations Day” Read more: https://t.co/cyRAQAKhy2 https://t.co/HVD0kLYlBk"
922951009277825024,2017-10-24 22:20:42 +0000,realDonaldTrump,So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.
923147501418446849,2017-10-25 11:21:30 +0000,realDonaldTrump,"""Clinton campaign & DNC paid for research that led to the anti-Trump Fake News Dossier. The victim here is the President."" @FoxNews"
923149037523566592,2017-10-25 11:27:36 +0000,realDonaldTrump,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt & wounded!"
923149793974775810,2017-10-25 11:30:36 +0000,realDonaldTrump,"The meeting with Republican Senators yesterday, outside of Flake and Corker, was a love fest with standing ovations and great ideas for USA!"
923150966551171073,2017-10-25 11:35:16 +0000,realDonaldTrump,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business & JOBS"
923165619868131329,2017-10-25 12:33:30 +0000,realDonaldTrump,"Jeff Flake, with an 18% approval rating in Arizona, said ""a lot of my colleagues have spoken out."" Really, they just gave me a standing O!"
923212567232774145,2017-10-25 15:40:03 +0000,realDonaldTrump,MAKE AMERICA GREAT AGAIN! https://t.co/CbEwJSQ1A3
